item_group_key_strict,item_group_key_loose,item_name_suggested,brand_guess,consumable_type,hazard_tags,example_image_file,images_in_group_strict,images_in_group_loose,primary_area,process_tags,unit_type,on_hand_qty,reorder_point,storage_location,notes,amazon_search_url,amazon_url,amazon_asin,r2_object_key
3pack ptfeteflon sheet,3pack ptfeteflon,3Pack PTFETeflon Sheet,3Pack,3d-print consumable,,3PackPTFETeflonSheet.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=3Pack+PTFETeflon+Sheet,,,Supplies/3PackPTFETeflonSheet.jpg
5pcshardened pcshardened steel,5pcshardened pcshardened,5PCSHardened Steel MK8Nozzle04mm,5PCSHardened,3d-print consumable,,5PCSHardenedSteelMK8Nozzle04mm.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=5PCSHardened+Steel+MK8Nozzle04mm,,,Supplies/5PCSHardenedSteelMK8Nozzle04mm.jpg
amz3d175mm amz d,amz3d175mm amz,AMZ3D175mm Grey PLA3DPrinter Filament,AMZ3D175mm,3d-print consumable,,AMZ3D175mmGreyPLA3DPrinterFilament.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=AMZ3D175mm+Grey+PLA3DPrinter+Filament,,,Supplies/AMZ3D175mmGreyPLA3DPrinterFilament.jpg
anet pla dprinter,anet pla,Anet PLA3DPrinter Filament175mm Yellow,Anet,3d-print consumable,,AnetPLA3DPrinterFilament175mmYellow.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Anet+PLA3DPrinter+Filament175mm+Yellow,,,Supplies/AnetPLA3DPrinterFilament175mmYellow.jpg
cc3dsilk cc dsilk,cc3dsilk cc,CC3DSilk Purple PLAFilament,CC3DSilk,3d-print consumable,,CC3DSilkPurplePLAFilament.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=CC3DSilk+Purple+PLAFilament,,,Supplies/CC3DSilkPurplePLAFilament.jpg
creality petg dprinting,creality petg,Creality PETG3DPrinting Filament Transparent,Creality,3d-print consumable,,CrealityPETG3DPrintingFilamentTransparent.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Creality+PETG3DPrinting+Filament+Transparent,,,Supplies/CrealityPETG3DPrintingFilamentTransparent.jpg
creality dprinter brass,creality dprinter,Creality3DPrinter Brass Nozzlesand Hardened Steel Extruder Nozzles Kit,Creality,3d-print consumable,,Creality3DPrinterBrassNozzlesandHardenedSteelExtruderNozzlesKit.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Creality3DPrinter+Brass+Nozzlesand+Hardened+Steel+Extruder+Nozzles+Kit,,,Supplies/Creality3DPrinterBrassNozzlesandHardenedSteelExtruderNozzlesKit.jpg
creality dprinter filament,creality dprinter,Creality3DPrinter Filament175mm Black,Creality,3d-print consumable,,Creality3DPrinterFilament175mmBlack.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Creality3DPrinter+Filament175mm+Black,,,Supplies/Creality3DPrinterFilament175mmBlack.jpg
eryonepetgfilamentfor3dprinter175mm eryonepetgfilamentfor dprinter,eryonepetgfilamentfor3dprinter175mm eryonepetgfilamentfor,ERYONEPETGFilamentfor3DPrinter175mm Filament,ERYONEPETGFilamentfor3DPrinter175mm,3d-print consumable,,ERYONEPETGFilamentfor3DPrinter175mmFilament.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=ERYONEPETGFilamentfor3DPrinter175mm+Filament,,,Supplies/ERYONEPETGFilamentfor3DPrinter175mmFilament.jpg
giantarmtpu3dprinter giantarmtpu dprinter,giantarmtpu3dprinter giantarmtpu,GIANTARMTPU3DPrinter Filament Black,GIANTARMTPU3DPrinter,3d-print consumable,,GIANTARMTPU3DPrinterFilamentBlack.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=GIANTARMTPU3DPrinter+Filament+Black,,,Supplies/GIANTARMTPU3DPrinterFilamentBlack.jpg
iemaiplafilament175mm iemaiplafilament dual,iemaiplafilament175mm iemaiplafilament,IEMAIPLAFilament175mm Silver Red Dual Color,IEMAIPLAFilament175mm,3d-print consumable,,IEMAIPLAFilament175mmSilverRedDualColor.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=IEMAIPLAFilament175mm+Silver+Red+Dual+Color,,,Supplies/IEMAIPLAFilament175mmSilverRedDualColor.jpg
jayopla+filament175mm jayopla filament,jayopla+filament175mm jayopla,JAYOPLA+Filament175mm Blue,JAYOPLA+Filament175mm,3d-print consumable,,JAYOPLA+Filament175mmBlue.jpg,2,2,,,,,,,,https://www.amazon.ca/s?k=JAYOPLA+Filament175mm+Blue,,,Supplies/JAYOPLA+Filament175mmBlue.jpg
mod3dpruby mod dpruby,mod3dpruby mod,MOD3DPRuby Tip3DPrinter Nozzle,MOD3DPRuby,3d-print consumable,,MOD3DPRubyTip3DPrinterNozzle.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=MOD3DPRuby+Tip3DPrinter+Nozzle,,,Supplies/MOD3DPRubyTip3DPrinterNozzle.jpg
overture plafilament,overture plafilament,Overture PLAFilament Black,Overture,3d-print consumable,,OverturePLAFilamentBlack.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Overture+PLAFilament+Black,,,Supplies/OverturePLAFilamentBlack.jpg
overturepetgfilament175mm3dprinter overturepetgfilament dprinter,overturepetgfilament175mm3dprinter overturepetgfilament,OVERTUREPETGFilament175mm3DPrinter Filament Green,OVERTUREPETGFilament175mm3DPrinter,3d-print consumable,,OVERTUREPETGFilament175mm3DPrinterFilamentGreen.jpg,2,2,,,,,,,,https://www.amazon.ca/s?k=OVERTUREPETGFilament175mm3DPrinter+Filament+Green,,,Supplies/OVERTUREPETGFilament175mm3DPrinterFilamentGreen.jpg
overtureplaplus(pla+)filament overtureplaplus pla,overtureplaplus(pla+)filament overtureplaplus,OVERTUREPLAPlus(PLA+)Filament,OVERTUREPLAPlus(PLA+)Filament,3d-print consumable,,OVERTUREPLAPlus(PLA+)Filament.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=OVERTUREPLAPlus(PLA+)Filament,,,Supplies/OVERTUREPLAPlus(PLA+)Filament.jpg
petg+filament175mm petg filament,petg+filament175mm petg,PETG+Filament175mm PETG+3DPrinter Filament,PETG+Filament175mm,3d-print consumable,,PETG+Filament175mmPETG+3DPrinterFilament.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=PETG+Filament175mm+PETG+3DPrinter+Filament,,,Supplies/PETG+Filament175mmPETG+3DPrinterFilament.jpg
